Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:24
f4967e62-5b15-4ad3-bf4e-71cf441cd54b,,S shaped appearance,S shaped appearance,S shaped appearance,Misc,N/A,,,
74e70a7c-b4bf-42ad-966f-a5956be04473,,Clogged meibomian glad,Clogged meibomian glad,Clogged meibomian glad,Misc,N/A,,,
fd425900-224f-4208-81fe-dc00e1c1cecb,,Stenosed UL punctom,Stenosed UL punctom,Stenosed UL punctom,Misc,N/A,,,
a5c2f01a-7c19-4761-a56a-5bff9efadc5c,,Stenosed LL punctom,Stenosed LL punctom,Stenosed LL punctom,Misc,N/A,,,
3bcd75f1-e106-4755-be84-e5995908cd2e,,Small eye lid laceration,Small eye lid laceration,Small eye lid laceration,Misc,N/A,,,
81262fc6-7211-4c04-bd04-25a18885dcd4,,Complicated eyelid laceration,Complicated eyelid laceration,Complicated eyelid laceration,Misc,N/A,,,
71f3a84c-1bea-4033-930f-4f86cd56485c,,Red,Red,Red,Misc,N/A,,,
f8ebdc38-bcbf-4f43-9a17-90a5ea4822a9,,Congestion,Congestion,Congestion,Misc,N/A,,,
acdf6b05-7b7e-4074-aec3-a964789bced6,,Discolored,Discolored,Discolored,Misc,N/A,,,
a34a956c-bd46-4a69-b6e4-ef415ff2a2e5,,Chemosis,Chemosis,Chemosis,Misc,N/A,,,
5f67e407-1492-4591-9d78-420a2aa359b1,,Papillae,Papillae,Papillae,Misc,N/A,,,
d61fab5a-50cd-4e78-9bfd-b6396bd0ab0a,,Follicles,Follicles,Follicles,Misc,N/A,,,
50d602d9-6d36-4562-b922-621360f66f74,,Deep seated concreations,Deep seated concreations,Deep seated concreations,Misc,N/A,,,
2d9db29e-4c9c-4f33-9bb0-a34d834feaef,,Superficial concretion,Superficial concretion,Superficial concretion,Misc,N/A,,,
98cf6723-435e-4244-b615-138f2fd536e0,,Yellowish bump,Yellowish bump,Yellowish bump,Misc,N/A,,,
8831d22b-fc06-4afa-9e6c-bb47af84a493,,Wedge shaped growth,Wedge shaped growth,Wedge shaped growth,Misc,N/A,,,
1fd418de-7c75-4813-b91d-2bb1aa5ce67f,,Phlycten,Phlycten,Phlycten,Misc,N/A,,,
